id,supplier,parentSupplier,zone,country,category,scorecard_category,kpiApplicability,supplierApprovalStatus,greenCount,yellowCount,redCount,naCount,blankCount,year
sa-616,Brewery Putian New,Brewery Putian New,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-617,Brewery Quilmes,Brewery Quilmes,SAZ,Argentina,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-618,Brewery Quito,Brewery Quito,MAZ,Ecuador,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-619,Brewery RBL Neemrana,Brewery RBL Neemrana,APAC,India,Brewery,DIRECT,Applicable,Approved,0,0,0,0,1,2026
sa-620,Brewery Rio de Janeiro,Brewery Rio de Janeiro,SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-621,Brewery Rosslyn,Brewery Rosslyn,AFR,South Africa,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-622,Brewery Sacaba,Brewery Sacaba,SAZ,Bolivia,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-623,Brewery Samlesbury,Brewery Samlesbury,EUR,United Kingdom,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-624,Brewery Samson Pivovar,Brewery Samson Pivovar,EUR,Czech,Brewery,DIRECT,Applicable,Not Approved,0,0,0,0,1,2026
sa-625,Brewery San Juan,Brewery San Juan,MAZ,Peru,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-626,Brewery San Pedro Sula Beer,Brewery San Pedro Sula Beer,MAZ,Honduras,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-627,Brewery Santa Cruz,Brewery Santa Cruz,EUR,Spain,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-628,Brewery Santa Cruz,Brewery Santa Cruz,SAZ,Bolivia,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-629,Brewery Santiago,Brewery Santiago,SAZ,Chile,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-630,Brewery Sao Luis (Equatorial),Brewery Sao Luis (Equatorial),SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-631,Brewery Sapucaia do Sul,Brewery Sapucaia do Sul,SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-632,Brewery Sete Lagoas (Nova Minas),Brewery Sete Lagoas (Nova Minas),SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-633,Brewery Shiliang,Brewery Shiliang,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-634,Brewery Sint-Pieters-Leeuw (Bellevue),Brewery Sint-Pieters-Leeuw (Bellevue),EUR,Belgium,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-635,Brewery Sonipat (Haryana),Brewery Sonipat (Haryana),APAC,India,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-636,Brewery St. John's,Brewery St. John's,NAZ,Canada,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-637,Brewery St. Louis,Brewery St. Louis,NAZ,United States,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-638,Brewery Suqian,Brewery Suqian,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-639,Brewery Tangshan 2,Brewery Tangshan 2,APAC,China,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-640,Brewery Tarija,Brewery Tarija,SAZ,Bolivia,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-641,Brewery Teresina,Brewery Teresina,SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-642,Brewery Tocancipa,Brewery Tocancipa,MAZ,Colombia,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-643,Brewery Torreon,Brewery Torreon,MAZ,Mexico,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-644,Brewery Turning Point,Brewery Turning Point,NAZ,Canada,Brewery,DIRECT,Applicable,Approved,0,0,0,0,1,2026
sa-645,Brewery Tuxtepec,Brewery Tuxtepec,MAZ,Mexico,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-646,Brewery Uberlandia,Brewery Uberlandia,SAZ,Brazil,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
sa-647,Brewery VSIP,Brewery VSIP,APAC,Vietnam,Brewery,DIRECT,Applicable,,0,0,0,0,1,2026
