id,supplier,parentSupplier,zone,country,category,scorecard_category,kpiApplicability,conformityPct,missingPo,wrongPo,wrongInvoice,totalInvoices,mismatchCount
ic-149,AEB GmbH,AEB SE,EUR,Belgium,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,17,0
ic-150,AEB GmbH,AEB SE,EUR,Germany,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,15,0
ic-151,AECA Belgium,AECA Belgium,EUR,Belgium,INSTITUTIONAL,BST,Applicable,1.000000,0,0,0,1,0
ic-152,AED PARTNER,APi Group Corporation,EUR,Belgium,PEOPLE,BST,Applicable,1.000000,0,0,0,2,0
ic-153,AEH,AEH,EUR,GHQ CH,SERVICES,BST,Applicable,1.000000,0,0,0,1,0
ic-154,AERZEN BELGIUM,Aerzen Holding GmbH,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,9,0
ic-155,AERZENRENTAL BV,Aerzen Holding GmbH,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,10,0
ic-156,AETNA GROUP S.P.A,AETNA GROUP HOLDING SPA,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,20,0
ic-157,AETNA GROUP S.P.A,AETNA GROUP HOLDING SPA,EUR,Ukraine,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,12,0
ic-158,AF BELGIUM,MOTEURS ET FRANÇOIS,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,3,0
ic-159,AF BELGIUM,MOTEURS ET FRANÇOIS,EUR,Luxembourg,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,1,0
ic-160,AFACIS Supply Chain Consulting S.L,AFACIS Supply Chain Consulting S.L,EUR,GHQ BE,TECHNOLOGY,BST,Applicable,1.000000,0,0,0,65,0
ic-161,AFIRST ASBL,AFIRST ASBL,EUR,Belgium,PEOPLE,BST,Applicable,1.000000,0,0,0,12,0
ic-162,AFJE,AFJE,EUR,France,INSTITUTIONAL,BST,Applicable,1.000000,0,0,0,2,0
ic-163,AFRY Sweden AB,AFRY Sweden AB,EUR,GHQ BE,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,6,0
ic-164,AFT Plus Promotion Sales,GLOBAL SMOLLAN HOLDINGS,EUR,Austria,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,13,0
ic-165,AG Gastrotechnik Apollo Gamado,AG Gastrotechnik Apollo Gamado,EUR,Germany,SALES,COMMERCIAL,Applicable,1.000000,0,0,0,2,0
ic-166,AG Groupe,AG Groupe,EUR,Luxembourg,SERVICES,BST,Applicable,1.000000,0,0,0,8,0
ic-167,"AG Labs, LLC","AG Labs, LLC",EUR,Belgium,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,4,0
ic-168,"AG Labs, LLC","AG Labs, LLC",EUR,GHQ BE,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,2,0
ic-169,AGAP2,MOONGY,EUR,Belgium,MAINTENANCE,CAPEX,Applicable,1.000000,0,0,0,1,0
ic-170,AGENA,AGENA,EUR,France,SERVICES,BST,Applicable,1.000000,0,0,0,2,0
ic-171,AGENCY MANAGEMENT LTD,AGENCY MANAGEMENT LTD,EUR,United Kingdom,MARKETING,COMMERCIAL,Applicable,1.000000,0,0,0,4,0
